,메뉴,url
0,메일,https://mail.naver.com/
1,카페,https://section.cafe.naver.com/
2,블로그,https://section.blog.naver.com/
3,지식iN,https://kin.naver.com/
4,쇼핑,https://shopping.naver.com/
5,쇼핑LIVE,https://shoppinglive.naver.com/home
6,Pay,https://order.pay.naver.com/home
7,TV,https://tv.naver.com/
8,사전,https://dict.naver.com/
9,뉴스,https://news.naver.com/
10,증권,https://finance.naver.com/
11,부동산,https://land.naver.com/
12,지도,https://map.naver.com/
13,VIBE,https://vibe.naver.com/?from=naver_main&utm_source=naver_main&utm_medium=naver_main_pcweb&utm_campaign=naver_main_redirect
14,도서,https://search.shopping.naver.com/book/home
15,웹툰,https://comic.naver.com/
