감독,평균 관객수,등급
강우석,974262.0,6
강유선,50863.0,3
강윤성,3987122.5,9
강지은,102374.0,3
강형철,1258811.0,7
고동우,141592.0,4
곽경택,1595649.75,8
곽재용,1202384.0,7
구모,15882.0,2
국만중,177.0,1
권수경,2979659.0,9
권종관,1241899.0,7
권혁만,94767.0,3
김대승,224657.0,4
김덕수,149719.0,4
김도영,3678156.0,9
김문옥,1067.0,1
김민호,1593386.0,7
김병갑,678091.0,6
김병우,1179031.0,7
김봉한,383336.0,5
김상철,1637.0,1
김석윤,2444123.0,8
김성기,55366.0,3
김성수,2594028.0,8
김성욱,10854.0,2
김성훈,4025108.3333333335,10
김소동,3389035.0,9
김승우,645082.0,6
김영록,4573902.0,10
김유성,172212.0,4
김재수,4237.0,2
김제영,229005.0,4
김주호,637021.0,6
김주환,3631503.5,9
김지운,4198984.0,10
김진원,104395.0,3
김태곤,2108273.0,8
김현석,3279296.0,9
김현주,153097.0,4
김현호,770250.5,6
김형협,646924.0,6
김홍선,30116.0,2
김효재,561.0,1
김휘,353043.0,5
나홍진,6879908.0,10
남대중,297725.5,5
노진수,471.5,1
류승완,6138893.666666667,10
류정우,1168335.5,7
리건,2157437.0,8
마대윤,46623.0,3
모홍진,3037710.5,9
문현성,1634403.0,8
민규동,519813.6666666667,6
박광현,2514943.0,8
박대민,2051277.0,8
박영균,391760.0,5
박용집,176020.0,4
박인제,1362634.0,7
박정오,56835.0,3
박준수,325542.0,5
박찬욱,2351232.5,8
박현진,848148.0,6
박훈정,2707266.75,9
박흥식,485695.0,5
박희곤,2087474.0,8
박희준,1791.0,1
방수인,313883.0,5
백승기,1159.0,1
백승화,95542.0,3
변성현,704820.0,6
변진호,55227.0,3
변혁,768442.0,6
봉준호,4587633.333333333,10
석민우,2943635.5,9
손석우,279993.0,4
손재곤,15037.0,2
송민규,47805.0,3
송창용,43678.333333333336,2
신한솔,269050.0,4
애론 우들리,35436.0,2
양경모,434777.0,5
양우석,4014293.0,9
엄태화,510878.0,5
연상호,6277791.5,10
오성윤,382.0,1
오인천,561.0,1
우민호,3009691.3333333335,9
원신연,4787538.0,10
유선동,137294.0,4
육상효,1478156.0,7
윤제균,5345678.0,10
윤종빈,4974512.0,10
윤준상,186912.0,4
이경섭,195553.5,4
이계벽,4078625.0,10
이권,1559616.0,7
이덕희,134827.0,3
이도시,350.0,1
이동원,2056.0,2
이두환,288016.0,5
이리단,116.0,1
이만희,844103.0,6
이민재,263322.0,4
이병헌,6076771.333333333,10
이석근,2820969.0,9
이석훈,5129409.0,10
이성관,29.0,1
이성태,307229.0,5
이승호,15785.0,2
이안규,119885.5,3
이언희,2152990.5,8
이영준,79998.0,3
이용승,347790.0,5
이우철,645922.0,6
이원태,1872921.5,8
이윤기,219228.0,4
이윤정,1398.0,1
이은희,240484.0,4
이일형,9707158.0,10
이장훈,2602273.0,9
이재규,5293435.0,10
이재남,177.0,1
이재한,3538356.5,9
이정범,262233.0,4
이준익,1744498.0,8
이진명,239.0,1
이창동,692041.0,6
이창열,32654.0,2
이창재,1854867.0,8
이철하,1063421.0,7
이해영,5063620.0,10
이해준,6290502.0,10
이혁종,7269.0,2
임대웅,128975.0,3
임순례,1505560.0,7
임아론,99480.0,3
임진순,461693.0,5
장규성,203009.0,4
장성,41041.0,2
장유정,1492903.0,7
장재혁,63279.0,3
장준환,1942077.0,8
장창원,4018035.0,10
장태령,3452.0,2
장항준,1386611.0,7
정귀호,29277.0,2
정다원,1628963.0,8
정도수,670316.5,6
정미화,41054.0,2
정범식,2675559.0,9
정병길,1208081.0,7
정성복,5109.0,2
정소영,250650.0,4
정윤철,837500.0,6
정지영,2478964.0,8
정지우,869814.5,6
조규장,1588393.0,7
조근식,77124.0,3
조근현,242803.0,4
조선호,1129609.0,7
조성희,1430666.0,7
조원희,450374.0,5
조의석,3943615.0,9
조정래,3586929.0,9
조철현,958775.0,6
조태호,128.0,1
주지홍,16410.0,2
준세,189.0,1
채두병,66883.0,3
최국희,2253073.5,8
최동훈,7467469.5,10
최무연,412.5,1
최상훈,217444.0,4
최성현,984067.5,7
최신규,511339.25,6
최우성,165.0,1
최정열,2525986.0,8
추창민,528007.0,6
캘런 브런커,411787.0,5
필립 귀엔,5916.0,2
하기호,320884.0,5
한상호,375312.0,5
한재림,5316325.0,10
한준희,1826714.0,8
허인무,469296.0,5
허정,1306438.0,7
허종호,723622.0,6
허준형,53610.0,3
허진호,3282426.5,9
홍기선,992.0,1
홍수동,16723.0,2
홍승완,288579.0,5
홍헌표,21947.0,2
황동혁,3849087.0,9
